question,item,total,age_14_29,age_30_49,age_50_x,female,male
Current frequency of buying organic foods,Exclusively,3%,3%,3%,3%,4%,3%
Current frequency of buying organic foods,Frequently,33%,30%,38%,31%,36%,29%
Current frequency of buying organic foods,Occasionally,49%,52%,43%,51%,47%,50%
Current frequency of buying organic foods,Never,15%,16%,16%,15%,12%,18%
Current frequency of buying organic foods,Top 2,36%,33%,41%,34%,40%,32%
Current frequency of buying organic foods,Top 3,85%,85%,84%,85%,87%,82%
Planned frequency of buying organic foods in the future,Exclusively,4%,3%,5%,4%,5%,3%
Planned frequency of buying organic foods in the future,Frequently,38%,40%,40%,35%,39%,35%
Planned frequency of buying organic foods in the future,Occasionally,47%,50%,41%,48%,46%,48%
Planned frequency of buying organic foods in the future,Never,12%,7%,14%,12%,10%,14%
Planned frequency of buying organic foods in the future,Top 2,42%,43%,45%,39%,44%,38%
Planned frequency of buying organic foods in the future,Top 3,89%,93%,86%,87%,90%,86%
Reasons for buying organic foods,Regional origin and support for regional firms,88%,83%,86%,91%,91%,85%
Reasons for buying organic foods,Animal welfare,90%,87%,90%,91%,92%,87%
Reasons for buying organic foods,Fewer additive substances,85%,77%,88%,86%,89%,81%
Reasons for buying organic foods,Healthy diet,87%,79%,87%,89%,90%,83%
Reasons for buying organic foods,No use of genetically changed organisms,74%,68%,69%,78%,80%,67%
Reasons for buying organic foods,Contribution to biodiversity,74%,64%,80%,74%,75%,72%
Reasons for buying organic foods,Taste,67%,62%,65%,69%,70%,63%
Reasons for buying organic foods,Avoidance of pesticide residues,84%,71%,83%,90%,87%,82%
Reasons for buying organic foods,Social standards and fair income for producers,79%,76%,76%,82%,83%,75%
Reasons for buying organic foods,Products as natural as possible,90%,87%,88%,92%,90%,89%
