DATAFLOW,LAST UPDATE,freq,unit,crops,agprdmet,geo,TIME_PERIOD,OBS_VALUE
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Malta,2004,
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Malta,2013,0.06
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Albania,2021,0.09
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2006,0.1
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Malta,2005,0.1
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,North Macedonia,2015,0.17
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2005,0.2
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2009,0.2
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Malta,2006,0.2
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Malta,2010,0.2
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Malta,2011,0.2
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Poland,2003,0.2
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Malta,2016,0.21
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Serbia,2013,0.23
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,North Macedonia,2017,0.25
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Malta,2015,0.25
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,North Macedonia,2016,0.26
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Serbia,2014,0.27
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,North Macedonia,2019,0.29
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,North Macedonia,2020,0.29
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Malta,2014,0.29
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2007,0.3
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2008,0.3
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Malta,2007,0.3
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Iceland,2020,0.32
