DATAFLOW;LAST UPDATE;freq;unit;operator;procstat;geo;TIME_PERIOD;OBS_VALUE
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020);2016;295577
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;European Union - 28 countries (2013-2020);2016;295577
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;European Union - 27 countries (from 2020);2016;292175
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020);2015;271349
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;European Union - 28 countries (2013-2020);2015;271349
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;European Union - 27 countries (from 2020);2015;267915
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020);2014;257641
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;European Union - 28 countries (2013-2020);2014;257641
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020);2013;257123
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;European Union - 28 countries (2013-2020);2013;257123
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;European Union - 27 countries (from 2020);2014;254115
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;European Union - 27 countries (from 2020);2013;253215
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Türkiye;2018;79563
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Italy;2021;75874
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Türkiye;2017;75067
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Türkiye;2019;74545
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Italy;2020;71590
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Türkiye;2014;71472
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Italy;2019;70561
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Türkiye;2015;69967
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Italy;2018;69335
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Türkiye;2016;67879
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Italy;2017;66788
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Türkiye;2013;65042
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Italy;2016;64227
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020);2016;62666
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;European Union - 28 countries (2013-2020);2016;62666
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;European Union - 27 countries (from 2020);2016;59697
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020);2015;57983
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;European Union - 28 countries (2013-2020);2015;57983
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Spain;2022;55851
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;European Union - 27 countries (from 2020);2015;55358
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Spain;2021;52861
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Italy;2015;52609
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Türkiye;2020;52590
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020);2014;52151
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;European Union - 28 countries (2013-2020);2014;52151
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;European Union - 27 countries (from 2020);2014;49664
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Italy;2014;48662
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Türkiye;2021;48244
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Italy;2013;45965
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Türkiye;2022;44927
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020);2013;44852
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;European Union - 28 countries (2013-2020);2013;44852
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Spain;2020;44493
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;European Union - 27 countries (from 2020);2013;42773
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Spain;2019;41838
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Spain;2018;39505
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Spain;2017;37712
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;France;2017;36691
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Germany;2022;36688
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Germany;2021;36236
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Spain;2016;36207
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Greece;2021;35813
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Germany;2020;35262
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Spain;2015;34673
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Germany;2019;34136
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Germany;2018;32366
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;France;2016;32266
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Spain;2014;30602
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Spain;2013;30502
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Greece;2019;30124
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Greece;2020;29869
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Germany;2017;29764
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Greece;2018;29594
