DATAFLOW,LAST UPDATE,freq,meat,meatitem,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Albania,2014,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Albania,2015,71.2,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Albania,2016,83.22,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Albania,2017,77.84,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Albania,2018,59.43,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Albania,2019,47.43,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Albania,2020,42.1,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Albania,2021,50.93,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Albania,2022,63.06,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Albania,2023,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Austria,2014,675.91,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Austria,2015,695.17,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Austria,2016,686.53,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Austria,2017,678.26,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Austria,2018,694.23,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Austria,2019,680.53,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Austria,2020,644.65,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Austria,2021,644.16,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Austria,2022,638.99,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Austria,2023,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Bosnia and Herzegovina,2014,,
