Nr Source Form;Year;Dt Begin Period;Dt End Period;Nr Week Marketing Year;Member State;Ds Product Short;Product;Product Stage;Market;Ds Price Uom;Ds Period Type;Vl Euro Price;Is Calculated
829;2020;01/12/2020;31/12/2020;49;Germany;FRL_FUJ;Apples - Fuji;Farmgate price;National average (DE);national currency/100kg;Month;45,80;Y
829;2020;14/12/2020;20/12/2020;51;Germany;FRL_FUJ;Apples - Fuji;Farmgate price;National average (DE);national currency/100kg;Week;45,80;N
829;2021;01/01/2021;31/01/2021;1;Germany;FRL_FUJ;Apples - Fuji;Farmgate price;National average (DE);national currency/100kg;Month;72,07;Y
829;2021;01/01/2021;31/01/2021;1;Italy;FRL_CER;"Tomatoes - Cherry/""Cérises""";Farmgate price;National average (IT);national currency/100kg;Month;120,00;Y
829;2021;01/01/2021;31/01/2021;1;Italy;FRL_RON;Tomatoes - Round;Farmgate price;National average (IT);national currency/100kg;Month;90,00;Y
829;2021;01/01/2021;31/01/2021;1;Spain;FRL_CER;"Tomatoes - Cherry/""Cérises""";Farmgate price;National average (ES);national currency/100kg;Month;157,39;Y
829;2021;01/01/2021;31/01/2021;1;Spain;FRL_FUJ;Apples - Fuji;Farmgate price;National average (ES);national currency/100kg;Month;76,28;Y
829;2021;01/01/2021;31/01/2021;1;Spain;FRL_LNL;Oranges - Lanelate;Farmgate price;National average (ES);national currency/100kg;Month;29,35;Y
829;2021;01/01/2021;31/01/2021;1;Spain;FRL_RON;Tomatoes - Round;Farmgate price;National average (ES);national currency/100kg;Month;73,95;Y
829;2021;04/01/2021;10/01/2021;1;Italy;FRL_CER;"Tomatoes - Cherry/""Cérises""";Farmgate price;National average (IT);national currency/100kg;Week;115,00;N
829;2021;04/01/2021;10/01/2021;1;Italy;FRL_RON;Tomatoes - Round;Farmgate price;National average (IT);national currency/100kg;Week;75,00;N
829;2021;04/01/2021;10/01/2021;1;Spain;FRL_CER;"Tomatoes - Cherry/""Cérises""";Farmgate price;National average (ES);national currency/100kg;Week;155,56;N
829;2021;04/01/2021;10/01/2021;1;Spain;FRL_FUJ;Apples - Fuji;Farmgate price;National average (ES);national currency/100kg;Week;75,62;N
829;2021;04/01/2021;10/01/2021;1;Spain;FRL_LNL;Oranges - Lanelate;Farmgate price;National average (ES);national currency/100kg;Week;28,81;N
829;2021;04/01/2021;10/01/2021;1;Spain;FRL_RON;Tomatoes - Round;Farmgate price;National average (ES);national currency/100kg;Week;84,24;N
829;2021;11/01/2021;17/01/2021;2;Germany;FRL_FUJ;Apples - Fuji;Farmgate price;National average (DE);national currency/100kg;Week;72,53;N
829;2021;11/01/2021;17/01/2021;2;Italy;FRL_CER;"Tomatoes - Cherry/""Cérises""";Farmgate price;National average (IT);national currency/100kg;Week;115,00;N
829;2021;11/01/2021;17/01/2021;2;Italy;FRL_RON;Tomatoes - Round;Farmgate price;National average (IT);national currency/100kg;Week;75,00;N
829;2021;11/01/2021;17/01/2021;2;Spain;FRL_CER;"Tomatoes - Cherry/""Cérises""";Farmgate price;National average (ES);national currency/100kg;Week;175,83;N
829;2021;11/01/2021;17/01/2021;2;Spain;FRL_FUJ;Apples - Fuji;Farmgate price;National average (ES);national currency/100kg;Week;75,63;N
829;2021;11/01/2021;17/01/2021;2;Spain;FRL_LNL;Oranges - Lanelate;Farmgate price;National average (ES);national currency/100kg;Week;28,85;N
829;2021;11/01/2021;17/01/2021;2;Spain;FRL_RON;Tomatoes - Round;Farmgate price;National average (ES);national currency/100kg;Week;90,51;N
829;2021;18/01/2021;24/01/2021;3;Germany;FRL_FUJ;Apples - Fuji;Farmgate price;National average (DE);national currency/100kg;Week;71,84;N
829;2021;18/01/2021;24/01/2021;3;Italy;FRL_CER;"Tomatoes - Cherry/""Cérises""";Farmgate price;National average (IT);national currency/100kg;Week;125,00;N
829;2021;18/01/2021;24/01/2021;3;Italy;FRL_RON;Tomatoes - Round;Farmgate price;National average (IT);national currency/100kg;Week;105,00;N
829;2021;18/01/2021;24/01/2021;3;Spain;FRL_CER;"Tomatoes - Cherry/""Cérises""";Farmgate price;National average (ES);national currency/100kg;Week;153,87;N
829;2021;18/01/2021;24/01/2021;3;Spain;FRL_FUJ;Apples - Fuji;Farmgate price;National average (ES);national currency/100kg;Week;76,94;N
829;2021;18/01/2021;24/01/2021;3;Spain;FRL_LNL;Oranges - Lanelate;Farmgate price;National average (ES);national currency/100kg;Week;29,13;N
829;2021;18/01/2021;24/01/2021;3;Spain;FRL_RON;Tomatoes - Round;Farmgate price;National average (ES);national currency/100kg;Week;72,22;N
829;2021;25/01/2021;31/01/2021;4;Germany;FRL_FUJ;Apples - Fuji;Farmgate price;National average (DE);national currency/100kg;Week;71,84;N
829;2021;25/01/2021;31/01/2021;4;Italy;FRL_CER;"Tomatoes - Cherry/""Cérises""";Farmgate price;National average (IT);national currency/100kg;Week;125,00;N
829;2021;25/01/2021;31/01/2021;4;Italy;FRL_RON;Tomatoes - Round;Farmgate price;National average (IT);national currency/100kg;Week;105,00;N
829;2021;25/01/2021;31/01/2021;4;Spain;FRL_CER;"Tomatoes - Cherry/""Cérises""";Farmgate price;National average (ES);national currency/100kg;Week;144,28;N
829;2021;25/01/2021;31/01/2021;4;Spain;FRL_FUJ;Apples - Fuji;Farmgate price;National average (ES);national currency/100kg;Week;76,94;N
829;2021;25/01/2021;31/01/2021;4;Spain;FRL_LNL;Oranges - Lanelate;Farmgate price;National average (ES);national currency/100kg;Week;30,60;N
829;2021;25/01/2021;31/01/2021;4;Spain;FRL_RON;Tomatoes - Round;Farmgate price;National average (ES);national currency/100kg;Week;48,82;N
829;2021;01/02/2021;28/02/2021;5;France;FRL_FUJ;Apples - Fuji;Farmgate price;National average (FR);national currency/100kg;Month;28,00;Y
829;2021;01/02/2021;07/02/2021;5;Germany;FRL_FUJ;Apples - Fuji;Farmgate price;National average (DE);national currency/100kg;Week;68,33;N
829;2021;01/02/2021;28/02/2021;5;Germany;FRL_FUJ;Apples - Fuji;Farmgate price;National average (DE);national currency/100kg;Month;79,99;Y
829;2021;01/02/2021;07/02/2021;5;Italy;FRL_CER;"Tomatoes - Cherry/""Cérises""";Farmgate price;National average (IT);national currency/100kg;Week;125,00;N
829;2021;01/02/2021;28/02/2021;5;Italy;FRL_CER;"Tomatoes - Cherry/""Cérises""";Farmgate price;National average (IT);national currency/100kg;Month;112,50;Y
829;2021;01/02/2021;07/02/2021;5;Italy;FRL_RON;Tomatoes - Round;Farmgate price;National average (IT);national currency/100kg;Week;105,00;N
829;2021;01/02/2021;28/02/2021;5;Italy;FRL_RON;Tomatoes - Round;Farmgate price;National average (IT);national currency/100kg;Month;92,50;Y
829;2021;01/02/2021;07/02/2021;5;Spain;FRL_CER;"Tomatoes - Cherry/""Cérises""";Farmgate price;National average (ES);national currency/100kg;Week;137,60;N
829;2021;01/02/2021;28/02/2021;5;Spain;FRL_CER;"Tomatoes - Cherry/""Cérises""";Farmgate price;National average (ES);national currency/100kg;Month;125,48;Y
829;2021;01/02/2021;07/02/2021;5;Spain;FRL_FUJ;Apples - Fuji;Farmgate price;National average (ES);national currency/100kg;Week;77,95;N
829;2021;01/02/2021;28/02/2021;5;Spain;FRL_FUJ;Apples - Fuji;Farmgate price;National average (ES);national currency/100kg;Month;77,94;Y
829;2021;01/02/2021;07/02/2021;5;Spain;FRL_LNL;Oranges - Lanelate;Farmgate price;National average (ES);national currency/100kg;Week;30,94;N
829;2021;01/02/2021;28/02/2021;5;Spain;FRL_LNL;Oranges - Lanelate;Farmgate price;National average (ES);national currency/100kg;Month;30,57;Y
829;2021;01/02/2021;07/02/2021;5;Spain;FRL_RON;Tomatoes - Round;Farmgate price;National average (ES);national currency/100kg;Week;45,77;N
829;2021;01/02/2021;28/02/2021;5;Spain;FRL_RON;Tomatoes - Round;Farmgate price;National average (ES);national currency/100kg;Month;45,61;Y
829;2021;08/02/2021;14/02/2021;6;France;FRL_FUJ;Apples - Fuji;Farmgate price;National average (FR);national currency/100kg;Week;28,00;N
829;2021;08/02/2021;14/02/2021;6;Germany;FRL_FUJ;Apples - Fuji;Farmgate price;National average (DE);national currency/100kg;Week;80,51;N
829;2021;08/02/2021;14/02/2021;6;Italy;FRL_CER;"Tomatoes - Cherry/""Cérises""";Farmgate price;National average (IT);national currency/100kg;Week;125,00;N
829;2021;08/02/2021;14/02/2021;6;Italy;FRL_RON;Tomatoes - Round;Farmgate price;National average (IT);national currency/100kg;Week;95,00;N
829;2021;08/02/2021;14/02/2021;6;Spain;FRL_CER;"Tomatoes - Cherry/""Cérises""";Farmgate price;National average (ES);national currency/100kg;Week;128,54;N
829;2021;08/02/2021;14/02/2021;6;Spain;FRL_FUJ;Apples - Fuji;Farmgate price;National average (ES);national currency/100kg;Week;77,94;N
829;2021;08/02/2021;14/02/2021;6;Spain;FRL_LNL;Oranges - Lanelate;Farmgate price;National average (ES);national currency/100kg;Week;30,26;N
829;2021;08/02/2021;14/02/2021;6;Spain;FRL_RON;Tomatoes - Round;Farmgate price;National average (ES);national currency/100kg;Week;42,30;N
829;2021;15/02/2021;21/02/2021;7;France;FRL_FUJ;Apples - Fuji;Farmgate price;National average (FR);national currency/100kg;Week;28,00;N
829;2021;15/02/2021;21/02/2021;7;Germany;FRL_FUJ;Apples - Fuji;Farmgate price;National average (DE);national currency/100kg;Week;82,82;N
829;2021;15/02/2021;21/02/2021;7;Italy;FRL_CER;"Tomatoes - Cherry/""Cérises""";Farmgate price;National average (IT);national currency/100kg;Week;110,00;N
829;2021;15/02/2021;21/02/2021;7;Italy;FRL_RON;Tomatoes - Round;Farmgate price;National average (IT);national currency/100kg;Week;85,00;N
829;2021;15/02/2021;21/02/2021;7;Spain;FRL_CER;"Tomatoes - Cherry/""Cérises""";Farmgate price;National average (ES);national currency/100kg;Week;123,68;N
829;2021;15/02/2021;21/02/2021;7;Spain;FRL_FUJ;Apples - Fuji;Farmgate price;National average (ES);national currency/100kg;Week;77,94;N
829;2021;15/02/2021;21/02/2021;7;Spain;FRL_LNL;Oranges - Lanelate;Farmgate price;National average (ES);national currency/100kg;Week;30,42;N
829;2021;15/02/2021;21/02/2021;7;Spain;FRL_RON;Tomatoes - Round;Farmgate price;National average (ES);national currency/100kg;Week;41,71;N
829;2021;22/02/2021;28/02/2021;8;France;FRL_FUJ;Apples - Fuji;Farmgate price;National average (FR);national currency/100kg;Week;28,00;N
829;2021;22/02/2021;28/02/2021;8;Germany;FRL_FUJ;Apples - Fuji;Farmgate price;National average (DE);national currency/100kg;Week;88,28;N
829;2021;22/02/2021;28/02/2021;8;Italy;FRL_CER;"Tomatoes - Cherry/""Cérises""";Farmgate price;National average (IT);national currency/100kg;Week;90,00;N
829;2021;22/02/2021;28/02/2021;8;Italy;FRL_RON;Tomatoes - Round;Farmgate price;National average (IT);national currency/100kg;Week;85,00;N
829;2021;22/02/2021;28/02/2021;8;Spain;FRL_CER;"Tomatoes - Cherry/""Cérises""";Farmgate price;National average (ES);national currency/100kg;Week;112,09;N
829;2021;22/02/2021;28/02/2021;8;Spain;FRL_FUJ;Apples - Fuji;Farmgate price;National average (ES);national currency/100kg;Week;77,94;N
829;2021;22/02/2021;28/02/2021;8;Spain;FRL_LNL;Oranges - Lanelate;Farmgate price;National average (ES);national currency/100kg;Week;30,66;N
829;2021;22/02/2021;28/02/2021;8;Spain;FRL_RON;Tomatoes - Round;Farmgate price;National average (ES);national currency/100kg;Week;52,66;N
829;2021;01/03/2021;07/03/2021;9;France;FRL_FUJ;Apples - Fuji;Farmgate price;National average (FR);national currency/100kg;Week;28,00;N
829;2021;01/03/2021;31/03/2021;9;France;FRL_FUJ;Apples - Fuji;Farmgate price;National average (FR);national currency/100kg;Month;28,00;Y
